C,S,L,P,T,R,Z
TS2,ADSK,1,125.47,1,1,0
TS2,YUM,0,81.34,0,1,0
TS2,YUM,1,79.92,1,1,0
TS2,BAX,1,69.49,1,1,0
TS2,AAPL,1,184.11,1,1,0
DEEP,SCHW,2,55.32,1,1,0
DEEP,SCHW,3,55,1,1,0
DEEP,SCHW,4,54.67,1,1,0
DEEP,SCHW,5,54.35,1,1,0
DEEP,SCHW,6,54.03,1,1,0
DEEP,SCHW,7,53.71,1,1,0
DEEP,SCHW,8,53.39,1,1,0
DEEP,CSCO,2,42.45,1,1,0
DEEP,CSCO,3,42.26,1,1,0
DEEP,CSCO,4,42.07,1,1,0
DEEP,CSCO,5,41.88,1,1,0
DEEP,CSCO,6,41.69,1,1,0
DEEP,CSCO,7,41.5,1,1,0
DEEP,CSCO,8,41.31,1,1,0
DEEP,INFO,2,49.01,1,1,0
DEEP,INFO,3,48.81,1,1,0
DEEP,INFO,4,48.62,1,1,0
DEEP,INFO,5,48.42,1,1,0
DEEP,INFO,6,48.23,1,1,0
DEEP,INFO,7,48.03,1,1,0
DEEP,INFO,8,47.84,1,1,0
DEEP,KORS,1,56.43,1,1,0
DEEP,KORS,2,55.46,1,1,0
DEEP,KORS,3,54.48,1,1,0
DEEP,KORS,4,53.5,1,1,0
DEEP,KORS,5,52.52,1,1,0
DEEP,KORS,6,51.55,1,1,0
DEEP,KORS,7,50.57,1,1,0
DEEP,KORS,8,49.59,1,1,0
DEEP,ZION,1,54.53,1,1,0
DEEP,ZION,2,54.23,1,1,0
DEEP,ZION,3,53.93,1,1,0
DEEP,ZION,4,53.63,1,1,0
DEEP,ZION,5,53.33,1,1,0
DEEP,ZION,6,53.03,1,1,0
DEEP,ZION,7,52.73,1,1,0
DEEP,ZION,8,52.42,1,1,0
DEEP,BBY,1,67.7,1,1,0
DEEP,BBY,2,67.16,1,1,0
DEEP,BBY,3,66.62,1,1,0
DEEP,BBY,4,66.08,1,1,0
DEEP,BBY,5,65.54,1,1,0
DEEP,BBY,6,65,1,1,0
DEEP,BBY,7,64.46,1,1,0
DEEP,BBY,8,63.92,1,1,0
TS3,SC,1,17.49,1,1,0
TS3,SC,2,17.09,1,1,0
TS3,SC,3,16.69,1,1,0
TS3,SC,4,16.29,1,1,0
TS3,SC,5,15.89,1,1,0
TS3,SC,6,15.49,1,1,0
TS3,SC,7,15.09,1,1,0
TS3,SC,8,14.69,1,1,0
TS3,HP,2,65.18,1,1,0
TS3,HP,3,64.18,1,1,0
TS3,HP,4,63.18,1,1,0
TS3,HP,5,62.18,1,1,0
TS3,HP,6,61.18,1,1,0
TS3,HP,7,60.18,1,1,0
TS3,HP,8,59.18,1,1,0
TS3,FITB,1,30.16,1,1,0
TS3,FITB,2,29.74,1,1,0
TS3,FITB,3,29.32,1,1,0
TS3,FITB,4,28.9,1,1,0
TS3,FITB,5,28.48,1,1,0
TS3,FITB,6,28.06,1,1,0
TS3,FITB,7,27.64,1,1,0
TS3,FITB,8,27.22,1,1,0
TS3,ABMD,0,381.14,0,1,0
TS3,ABMD,1,374.91,1,1,0
TS3,ABMD,2,368.68,1,1,0
TS3,ABMD,3,362.45,1,1,0
TS3,ABMD,4,356.22,1,1,0
TS3,ABMD,5,349.99,1,1,0
TS3,ABMD,6,343.76,1,1,0
TS3,ABMD,7,337.53,1,1,0
TS3,ABMD,8,331.3,1,1,0
TS3,MU,1,55.7,1,1,0
TS3,MU,2,53.85,1,1,0
TS3,MU,3,52,1,1,0
TS3,MU,4,50.15,1,1,0
TS3,MU,5,48.3,1,1,0
TS3,MU,6,46.45,1,1,0
TS3,MU,7,44.6,1,1,0
TS3,MU,8,42.75,1,1,0
TS3,IGT,1,24.61,1,1,0
TS3,IGT,2,23.98,1,1,0
TS3,IGT,3,23.35,1,1,0
TS3,IGT,4,22.72,1,1,0
TS3,IGT,5,22.09,1,1,0
TS3,IGT,6,21.46,1,1,0
TS3,IGT,7,20.83,1,1,0
TS3,IGT,8,20.2,1,1,0
TS3,EMR,1,70.14,1,1,0
TS3,EMR,2,69.44,1,1,0
TS3,EMR,3,68.74,1,1,0
TS3,EMR,4,68.04,1,1,0
TS3,EMR,5,67.34,1,1,0
TS3,EMR,6,66.64,1,1,0
TS3,EMR,7,65.94,1,1,0
TS3,EMR,8,65.24,1,1,0
RSO,KORS,3,57.08,1,1,0
RSO,KORS,4,56.73,1,1,0
RSO,KORS,5,56.37,1,1,0
RSO,KORS,6,56.02,1,1,0
RSO,KORS,7,55.67,1,1,0
RSO,KORS,8,55.32,1,1,0
RSO,KORS,9,54.97,1,1,0
RSO,KORS,10,54.62,1,1,0
RSO,KORS,11,54.26,1,1,0
RSO,KORS,12,53.91,1,1,0
RSO,KORS,13,53.56,1,1,0
RSO,KORS,14,53.21,1,1,0
RSO,KORS,15,52.86,1,1,0
RSO,KORS,16,52.51,1,1,0
RSO,KORS,17,52.15,1,1,0
RSO,KORS,18,51.8,1,1,0
RSO,KORS,19,51.45,1,1,0
RSO,KORS,20,51.1,1,1,0
RSO,MU,0,56.34,1,1,0
RSO,MU,1,56.01,1,1,0
RSO,MU,2,55.68,1,1,0
RSO,MU,3,55.34,1,1,0
RSO,MU,4,55.01,1,1,0
RSO,MU,5,54.68,1,1,0
RSO,MU,6,54.35,1,1,0
RSO,MU,7,54.01,1,1,0
RSO,MU,8,53.68,1,1,0
RSO,MU,9,53.35,1,1,0
RSO,MU,10,53.01,1,1,0
RSO,MU,11,52.68,1,1,0
RSO,MU,12,52.35,1,1,0
RSO,MU,13,52.02,1,1,0
RSO,MU,14,51.68,1,1,0
RSO,MU,15,51.35,1,1,0
RSO,MU,16,51.02,1,1,0
RSO,MU,17,50.68,1,1,0
RSO,MU,18,50.35,1,1,0
RSO,MU,19,50.02,1,1,0
RSO,MU,20,49.68,1,1,0
RSO,BBY,0,67.52,1,1,0
RSO,BBY,1,67.32,1,1,0
RSO,BBY,2,67.13,1,1,0
RSO,BBY,3,66.93,1,1,0
RSO,BBY,4,66.74,1,1,0
RSO,BBY,5,66.54,1,1,0
RSO,BBY,6,66.35,1,1,0
RSO,BBY,7,66.15,1,1,0
RSO,BBY,8,65.96,1,1,0
RSO,BBY,9,65.76,1,1,0
RSO,BBY,10,65.57,1,1,0
RSO,BBY,11,65.38,1,1,0
RSO,BBY,12,65.18,1,1,0
RSO,BBY,13,64.99,1,1,0
RSO,BBY,14,64.79,1,1,0
RSO,BBY,15,64.6,1,1,0
RSO,BBY,16,64.4,1,1,0
RSO,BBY,17,64.21,1,1,0
RSO,BBY,18,64.01,1,1,0
RSO,BBY,19,63.82,1,1,0
RSO,BBY,20,63.62,1,1,0
100H,CTL,8,17.39,1,1,0
100H,CTL,9,17.34,1,1,0
100H,CTL,10,17.29,1,1,0
100H,CTL,11,17.24,1,1,0
100H,CTL,12,17.18,1,1,0
100H,CTL,13,17.13,1,1,0
100H,CTL,14,17.08,1,1,0
100H,CSCO,1,42.53,1,1,0
100H,CSCO,2,42.44,1,1,0
100H,CSCO,3,42.35,1,1,0
100H,CSCO,4,42.25,1,1,0
100H,CSCO,5,42.16,1,1,0
100H,CSCO,6,42.07,1,1,0
100H,CSCO,7,41.98,1,1,0
100H,CSCO,8,41.89,1,1,0
100H,CSCO,9,41.8,1,1,0
100H,CSCO,10,41.7,1,1,0
100H,CSCO,11,41.61,1,1,0
100H,CSCO,12,41.52,1,1,0
100H,CSCO,13,41.43,1,1,0
100H,CSCO,14,41.34,1,1,0
100H,KORS,2,57.09,1,1,0
100H,KORS,3,56.62,1,1,0
100H,KORS,4,56.15,1,1,0
100H,KORS,5,55.68,1,1,0
100H,KORS,6,55.22,1,1,0
100H,KORS,7,54.75,1,1,0
100H,KORS,8,54.28,1,1,0
100H,KORS,9,53.81,1,1,0
100H,KORS,10,53.34,1,1,0
100H,KORS,11,52.87,1,1,0
100H,KORS,12,52.4,1,1,0
100H,KORS,13,51.93,1,1,0
100H,KORS,14,51.46,1,1,0
100H,LW,0,63.43,1,1,0
100H,LW,1,63.3,1,1,0
100H,LW,2,63.17,1,1,0
100H,LW,3,63.04,1,1,0
100H,LW,4,62.91,1,1,0
100H,LW,5,62.77,1,1,0
100H,LW,6,62.64,1,1,0
