C,S,L,P,T,R,Z
100H,IBKR,0,67.41,1,1,0
100H,IBKR,1,67.05,1,1,0
100H,IBKR,2,66.69,1,1,0
100H,IBKR,3,66.32,1,1,0
100H,IBKR,4,65.96,1,1,0
100H,IBKR,5,65.59,1,1,0
100H,IBKR,6,65.23,1,1,0
100H,IBKR,7,64.87,1,1,0
100H,IBKR,8,64.5,1,1,0
100H,IBKR,9,64.14,1,1,0
100H,IBKR,10,63.77,1,1,0
100H,IBKR,11,63.41,1,1,0
100H,IBKR,12,63.04,1,1,0
100H,IBKR,13,62.68,1,1,0
100H,IBKR,14,62.32,1,1,0
100H,GXP,0,31.81,1,1,0
100H,GXP,1,31.7,1,1,0
100H,GXP,2,31.59,1,1,0
100H,GXP,3,31.48,1,1,0
100H,GXP,4,31.37,1,1,0
100H,GXP,5,31.26,1,1,0
100H,GXP,6,31.16,1,1,0
100H,GXP,7,31.05,1,1,0
100H,GXP,8,30.94,1,1,0
100H,GXP,9,30.83,1,1,0
100H,GXP,10,30.72,1,1,0
100H,GXP,11,30.61,1,1,0
100H,GXP,12,30.5,1,1,0
100H,GXP,13,30.39,1,1,0
100H,GXP,14,30.28,1,1,0
100H,WPX,0,17,1,1,0
100H,WPX,1,16.88,1,1,0
100H,WPX,2,16.77,1,1,0
100H,WPX,3,16.65,1,1,0
100H,WPX,4,16.54,1,1,0
100H,WPX,5,16.43,1,1,0
100H,WPX,6,16.31,1,1,0
100H,WPX,7,16.2,1,1,0
100H,WPX,8,16.09,1,1,0
100H,WPX,9,15.97,1,1,0
100H,WPX,10,15.86,1,1,0
100H,WPX,11,15.75,1,1,0
100H,WPX,12,15.63,1,1,0
100H,WPX,13,15.52,1,1,0
100H,WPX,14,15.41,1,1,0
100H,PXD,0,188.47,1,1,0
100H,PXD,1,187.74,1,1,0
100H,PXD,2,187.01,1,1,0
100H,PXD,3,186.29,1,1,0
100H,PXD,4,185.56,1,1,0
100H,PXD,5,184.83,1,1,0
100H,PXD,6,184.11,1,1,0
100H,PXD,7,183.38,1,1,0
100H,PXD,8,182.66,1,1,0
100H,PXD,9,181.93,1,1,0
100H,PXD,10,181.2,1,1,0
100H,PXD,11,180.48,1,1,0
100H,PXD,12,179.75,1,1,0
100H,PXD,13,179.02,1,1,0
100H,PXD,14,178.3,1,1,0
100H,NBL,0,34.28,1,1,0
100H,NBL,1,34.14,1,1,0
100H,NBL,2,34,1,1,0
100H,NBL,3,33.85,1,1,0
100H,NBL,4,33.71,1,1,0
100H,NBL,5,33.56,1,1,0
100H,NBL,6,33.42,1,1,0
100H,NBL,7,33.28,1,1,0
100H,NBL,8,33.13,1,1,0
100H,NBL,9,32.99,1,1,0
100H,NBL,10,32.84,1,1,0
100H,NBL,11,32.7,1,1,0
100H,NBL,12,32.56,1,1,0
100H,NBL,13,32.41,1,1,0
100H,NBL,14,32.27,1,1,0
BONNH,IBKR,8,67.91,1,1,0
BONNH,CLSD,0,8.73,1,1,0
BONNH,CLSD,1,8.67,1,1,0
BONNH,CLSD,2,8.61,1,1,0
BONNH,CLSD,3,8.55,1,1,0
BONNH,CLSD,4,8.49,1,1,0
BONNH,CLSD,5,8.43,1,1,0
BONNH,CLSD,6,8.37,1,1,0
BONNH,CLSD,7,8.31,1,1,0
BONNH,CLSD,8,8.25,1,1,0
BONNH,NBL,0,32.97,1,1,0
BONNH,NBL,1,32.92,1,1,0
BONNH,NBL,2,32.87,1,1,0
BONNH,NBL,3,32.82,1,1,0
BONNH,NBL,4,32.77,1,1,0
BONNH,NBL,5,32.72,1,1,0
BONNH,NBL,6,32.67,1,1,0
BONNH,NBL,7,32.62,1,1,0
BONNH,NBL,8,32.57,1,1,0
BONNH,MRTX,0,37.29,1,1,0
BONNH,MRTX,1,37.15,1,1,0
BONNH,MRTX,2,37.01,1,1,0
BONNH,MRTX,3,36.87,1,1,0
BONNH,MRTX,4,36.73,1,1,0
BONNH,MRTX,5,36.59,1,1,0
