C,S,L,P,T,R,Z
BONNH,MRTX,6,36.45,1,1,0
BONNH,MRTX,7,36.31,1,1,0
BONNH,MRTX,8,36.17,1,1,0
BONNH,NEM,0,36.34,1,1,0
BONNH,NEM,1,36.31,1,1,0
BONNH,NEM,2,36.28,1,1,0
BONNH,NEM,3,36.25,1,1,0
BONNH,NEM,4,36.22,1,1,0
BONNH,NEM,5,36.19,1,1,0
BONNH,NEM,6,36.16,1,1,0
BONNH,NEM,7,36.13,1,1,0
BONNH,NEM,8,36.1,1,1,0
BONNH,ABR,0,8.94,1,1,0
BONNH,ABR,1,8.93,1,1,0
BONNH,ABR,2,8.92,1,1,0
BONNH,ABR,3,8.91,1,1,0
BONNH,ABR,4,8.9,1,1,0
BONNH,ABR,5,8.89,1,1,0
BONNH,ABR,6,8.88,1,1,0
BONNH,ABR,7,8.87,1,1,0
BONNH,ABR,8,8.86,1,1,0
BON,CLSD,0,8.73,1,1,0
BON,CLSD,1,8.67,1,1,0
BON,CLSD,2,8.61,1,1,0
BON,CLSD,3,8.55,1,1,0
BON,CLSD,4,8.49,1,1,0
BON,CLSD,5,8.43,1,1,0
BON,CLSD,6,8.37,1,1,0
BON,CLSD,7,8.31,1,1,0
BON,CLSD,8,8.25,1,1,0
BON,MRTX,0,37.29,1,1,0
BON,MRTX,1,37.15,1,1,0
BON,MRTX,2,37.01,1,1,0
BON,MRTX,3,36.87,1,1,0
BON,MRTX,4,36.73,1,1,0
BON,MRTX,5,36.59,1,1,0
BON,MRTX,6,36.45,1,1,0
BON,MRTX,7,36.31,1,1,0
BON,MRTX,8,36.17,1,1,0
BON,NOG,0,2.41,1,1,0
BON,NOG,1,2.4,1,1,0
BON,NOG,2,2.39,1,1,0
BON,NOG,3,2.38,1,1,0
BON,NOG,4,2.37,1,1,0
BON,NOG,5,2.36,1,1,0
BON,NOG,6,2.35,1,1,0
BON,NOG,7,2.34,1,1,0
BON,NOG,8,2.33,1,1,0
BON,GXP,0,30.39,1,1,0
BON,GXP,1,30.36,1,1,0
BON,GXP,2,30.33,1,1,0
BON,GXP,3,30.3,1,1,0
BON,GXP,4,30.27,1,1,0
BON,GXP,5,30.24,1,1,0
BON,GXP,6,30.21,1,1,0
BON,GXP,7,30.18,1,1,0
BON,GXP,8,30.15,1,1,0
BON,AOBC,0,11.68,1,1,0
BON,AOBC,1,11.66,1,1,0
BON,AOBC,2,11.64,1,1,0
BON,AOBC,3,11.62,1,1,0
BON,AOBC,4,11.6,1,1,0
BON,AOBC,5,11.58,1,1,0
BON,AOBC,6,11.56,1,1,0
BON,AOBC,7,11.54,1,1,0
BON,AOBC,8,11.52,1,1,0
BON,POR,0,39.25,1,1,0
BON,POR,1,39.21,1,1,0
BON,POR,2,39.17,1,1,0
BON,POR,3,39.13,1,1,0
BON,POR,4,39.09,1,1,0
BON,POR,5,39.05,1,1,0
BON,POR,6,39.01,1,1,0
BON,POR,7,38.97,1,1,0
BON,POR,8,38.93,1,1,0
BON,ABR,0,8.94,1,1,0
BON,ABR,1,8.93,1,1,0
BON,ABR,2,8.92,1,1,0
BON,ABR,3,8.91,1,1,0
BON,ABR,4,8.9,1,1,0
BON,ABR,5,8.89,1,1,0
BON,ABR,6,8.88,1,1,0
BON,ABR,7,8.87,1,1,0
BON,ABR,8,8.86,1,1,0
SOR2,FANG,0,107.23,1,1,0
SOR2,FANG,1,106.75,1,1,0
SOR2,FANG,2,106.26,1,1,0
SOR2,PE,0,26.07,1,1,0
SOR2,PE,1,25.96,1,1,0
SOR2,PE,2,25.84,1,1,0
SOR2,REI,0,11.96,1,1,0
SOR2,REI,1,11.89,1,1,0
SOR2,REI,2,11.82,1,1,0
SOR2,REPH,0,4.89,1,1,0
SOR2,REPH,1,4.81,1,1,0
SOR2,REPH,2,4.72,1,1,0
SOR2,WHD,0,29.42,1,1,0
SOR2,WHD,1,29.25,1,1,0
SOR2,WHD,2,29.08,1,1,0
